ticker,date,open,high,low,close
MSC,2018-10-18,16.5,18.49,14.85,15.5
MSC,2018-10-19,15.5,16.96,15.48,16.59
MSC,2018-10-22,16.57,18.49,16.57,18.25
MSC,2018-10-23,18.15,18.5,17.18,18.25
MSC,2018-10-24,18.19,18.25,16.47,16.83
MSC,2018-10-25,16.71,17.48,15.87,17.0
MSC,2018-10-26,16.92,18.02,16.43,18.02
MSC,2018-10-29,18.63,18.63,17.4,17.86
MSC,2018-10-30,17.29,19.7,16.72,18.85
MSC,2018-10-31,19.58,21.17,19.52,20.14
MSC,2018-11-01,23.93,24.67,21.48,23.5
MSC,2018-11-02,26.4,28.59,24.7,25.48
MSC,2018-11-05,27.1,27.1,24.0,24.79
MSC,2018-11-06,24.13,24.13,20.66,20.73
MSC,2018-11-07,21.0,22.68,16.97,18.04
MSC,2018-11-08,17.3,19.51,17.2,18.75
MSC,2018-11-09,18.75,19.4,18.0,18.44
MSC,2018-11-12,18.33,18.44,16.76,17.4
MSC,2018-11-13,17.62,17.69,16.53,17.5
MSC,2018-11-14,18.17,18.46,17.12,17.5
MSC,2018-11-15,16.61,16.9,16.61,16.79
MSC,2018-11-16,16.73,17.25,16.17,17.25
MSC,2018-11-19,17.25,17.25,15.91,16.04
MSC,2018-11-20,15.86,16.44,15.86,16.33
MSC,2018-11-21,16.25,16.52,15.97,16.0
MSC,2018-11-23,15.97,16.25,15.97,16.25
MSC,2018-11-26,16.41,16.62,16.26,16.31
MSC,2018-11-27,16.31,16.4,16.16,16.31
MSC,2018-11-28,16.28,16.33,15.52,15.99
MSC,2018-11-29,15.84,15.84,15.38,15.38
MSC,2018-11-30,15.0,15.0,13.79,14.64
MSC,2018-12-03,15.58,17.48,15.5,17.48
MSC,2018-12-04,17.3,19.15,17.3,19.15
MSC,2018-12-06,18.78,19.3,17.62,19.3
MSC,2018-12-07,20.39,20.39,18.52,19.47
MSC,2018-12-10,18.05,19.47,18.05,19.47
MSC,2018-12-11,19.09,19.09,18.73,18.73
MSC,2018-12-12,18.85,19.28,18.1,18.5
MSC,2018-12-13,18.5,18.5,18.5,18.5
MSC,2018-12-14,18.5,18.5,18.5,18.5
MSC,2018-12-17,18.0,19.17,18.0,18.6
MSC,2018-12-18,18.0,18.59,18.0,18.59
MSC,2018-12-19,18.03,18.21,17.95,17.95
MSC,2018-12-20,18.49,18.49,17.85,18.0
MSC,2018-12-21,17.45,17.58,17.45,17.58
MSC,2018-12-24,18.2,18.2,17.5,17.5
MSC,2018-12-26,17.5,17.5,17.5,17.5
MSC,2018-12-27,17.5,17.5,17.5,17.5
MSC,2018-12-28,17.5,17.54,16.4,16.4
MSC,2018-12-31,16.42,16.72,16.42,16.72
MSC,2019-01-02,16.72,16.72,16.72,16.72
MSC,2019-01-03,16.72,16.72,16.72,16.72
MSC,2019-01-04,16.72,16.72,16.72,16.72
MSC,2019-01-07,16.72,16.72,16.72,16.72
MSC,2019-01-08,16.0,16.75,16.0,16.72
MSC,2019-01-09,16.21,16.9,15.72,15.72
MSC,2019-01-10,15.58,16.92,15.42,16.72
MSC,2019-01-11,15.72,16.8,15.64,16.37
MSC,2019-01-14,16.38,16.74,16.17,16.17
MSC,2019-01-15,15.62,16.47,15.45,16.27
MSC,2019-01-16,15.1,16.5,15.1,15.5
MSC,2019-01-17,16.11,16.11,14.4,14.7
MSC,2019-01-18,14.5,15.28,13.4,13.8
MSC,2019-01-22,13.99,14.38,13.4,13.54
MSC,2019-01-23,13.0,13.38,13.0,13.08
MSC,2019-01-24,13.0,13.0,13.0,13.0
MSC,2019-01-25,12.73,13.16,12.73,13.0
MSC,2019-01-28,13.29,13.29,13.11,13.12
MSC,2019-01-29,13.0,13.0,13.0,13.0
MSC,2019-01-30,13.39,13.5,13.39,13.5
MSC,2019-01-31,14.89,15.2,14.53,15.18
MSC,2019-02-01,15.18,15.18,15.18,15.18
MSC,2019-02-04,14.52,15.66,14.49,15.4
MSC,2019-02-05,15.57,15.57,15.57,15.57
MSC,2019-02-06,14.81,15.61,14.03,14.65
